worker,task,utterance,matching_templates,plausible_operations,type_of_sentence
W185,2,show me news articles on COVID-19,TNAU525,Create(l1),command
W185,3,show me articles that mention vaccination,TNAU559,"Create(l2),Update(l1, l2),Update(l1, l1 v l2)",command
W185,4,show me articles that discuss a treatment for the virus,TNAU629,"Update(l1 ^ l2, l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",command
W185,6,"Show me articles that mention WHO, NI or NCD in the headline",TNAU696,Create(l4 v l5 v l6),command
W185,7,"Remove articles that refer to North Ireland, this is not the correct NI",TNAU754,"Update(l5, ?)",command
W185,8,I want to see articles that refer to National Insurance,TNAU820,"Update(?, l7)",statement
W185,9,"No articles on COVID-19, show me articles on SARS-CoV-2",TNAU871,"Update(l1, l8)",command
W185,12,now show me news articles about the flu,TNAU1005,"Update(l8 ^ l9, l10),Create(l10)",command
W185,13,change the list so that it doesn't include articles about COVID-19,TNAU1061,Create(neg(l1)),command
W186,2,What's the latest news on COVID-19?,TNAU523,Create(l1),question
W186,3,Show me the ones about vaccination,TNAU569,Create(l2),command
W186,4,also show me more articles about treatment,TNAU619,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W186,5,go back to original search and exclude results about treatment and vaccination,TNAU1114,"Update(l2 v l3, neg(l2) ^ neg(l3))",command
W186,6,"show me articles that include NCD, NI or WHO in the headline",TNAU696,Create(l4 v l5 v l6),command
W186,7,NI does not mean North Ireland,TNAU744,"Update(l5, ?)",statement
W186,8,NI means National Insurance,TNAU814,"Update(?, l7)",statement
W186,9,replace COVID-19 with SARS-CoV-2 in the previous headline search,TNAU874,"Update(l1, l8)",command
W186,10,advice previous search criteria,TNAU925,Read(Q10),command
W186,11,repeat last search with headline criteria removed and include articles that mention the economy,TNAU970,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W186,12,now show me articles about the flu,TNAU1005,"Update(l8 ^ l9, l10),Create(l10)",command
W186,13,repeat previous search and remove articles that mention COVID-19,TNAU1066,Create(neg(l1)),command
W187,2,give me a list of news articles on COVID-19,TNAU527,Create(l1),command
W187,3,give me a list of news articles about a vaccination for the disease,TNAU559,"Create(l2),Update(l1, l2),Update(l1, l1 v l2)",command
W187,4,give me a list of treatment options,TNAU622,"Update(l1 ^ l2, l3),Update(l1 ^ l2, (l1 ^ l2) v l3)",command
W187,5,give me a list of articles that are not about the vaccination or treatment ,TNAU1115,"Update(l2 v l3, neg(l2) v neg(l3))",command
W187,6,"give me a list of articles which references NCD, NI, WHO in the headline",TNAU696,Create(l4 v l5 v l6),command
W187,7,"remove from the list of articles all that reference ""North Ireland""",TNAU755,"Update(l5, ?),Update(l5, neg(l5))",command
W187,8,give me a list of articles which references National Insurance in the headline,TNAU813,"Update(?, l7)",command
W187,9,give me a list of articles that are about SARS-CoV-2 instead of COVID-19 from the results previously found,TNAU869,"Update(l1, l8)",command
W187,11,"give me a list of articles that are about the economy which instead of a headline that contains at least one of NCD, NI or WHO",TNAU1146,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
W187,12,remove all previous articles found and give me a list of articles that are about the flu,TNAU998,"Update(l8 ^ l9, l10)",command
W187,13,give me a list of articles from the articles previously found that do no contain any information about COVID-19,TNAU1059,Create(neg(l1)),command
W188,2,COVID-19 news,TNAU524,Create(l1),command
W188,3,about vaccination,TNAU561,Create(l2),command
W188,6,about NCD or NI or WHO im headline,TNAU695,Create(l4 v l5 v l6),command
W188,7,not north ireland,TNAU743,"Update(l5, ?),Update(l5, neg(l5))",command
W188,8,I meant National Insurance,TNAU819,"Update(?, l7)",statement
W188,9,SARS-CoV-2 news instead of COVID-19,TNAU865,"Update(l1, l8)",command
W188,10,What did i say?,TNAU927,Read(Q10),question
W188,12,articles about flu instead,TNAU1001,"Update(l8 ^ l9, l10)",command
W188,13,articles not about COVID-19,TNAU1060,Create(neg(l1)),command
W189,2,Show me news on COVID-19.,TNAU525,Create(l1),command
W189,3,Show me only the ones on vaccination.,TNAU569,Create(l2),command
W189,4,Show also the articles on treatment.,TNAU630,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",command
W189,5,Show more articles other than ones about vaccination and treatments.,TNAU677,Delete(l2 v l3),command
W189,6,"Show me me only the articles that contain NCD, NI or WHO in the headline.",TNAU696,Create(l4 v l5 v l6),command
W189,7,"By NI, I didn't mean North Ireland.",TNAU748,"Update(l5, ?)",statement
W189,8,I was referring to National Insurance (NI).,TNAU819,"Update(?, l7)",statement
W189,9,Can you bring up articles for SARS-CoV-2 (not COVID-19) ,TNAU867,"Update(l1, l8)",question
W189,10,What was my last query?,TNAU928,Read(Q10),question
W189,11,Now show me articles relating to the economy rather than the previous request regarding headlines.,TNAU968,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W189,12,Let's start from scratch. I want to read about the flu.,TNAU997,"Update(l8 ^ l9, l10)",statement
W189,13,Don't show any articles about COVID-19.,TNAU1062,Create(neg(l1)),command
W190,2,COVID-19 news articles,TNAU524,Create(l1),command
W190,3,vaccination articles,TNAU560,"Create(l2),Update(l1, l2),Update(l1, l1 v l2)",command
W190,4,vaccination or treatment articles,TNAU617,"Update(l2, l2 v l3)",command
W190,5,articles not about vaccination or treatment,TNAU1113,"Update(l2 v l3, neg(l2) v neg(l3))",command
W190,6,"articles with headlines including NCD, NI, WHO",TNAU697,Create(l4 v l5 v l6),command
W190,7,NI instead of North Ireland,TNAU746,"Update(l5, ?),Update(l5, neg(l5))",command
W190,8,NI is equal to National Insurance,TNAU817,"Update(?, l7)",statement
W190,9,SARS-CoV-2 not COVID-19 plus previous headlines,TNAU866,"Update(l1, l8)",command
W190,10,show past inputs,TNAU925,Read(Q10),command
W190,12,flu articles,TNAU1000,"Create(l10),Update(l8 ^ l9, l10)",command
W190,13,not COVID-19 related,TNAU1064,Create(neg(l1)),command
W191,2,Show me the latest news about COVID-19.,TNAU525,Create(l1),command
W191,3,Show me news related to vaccination,TNAU559,"Create(l2),Update(l1, l2),Update(l1, l1 v l2)",command
W191,4,Show me treatments,TNAU631,"Update(l2, l2 v l3),Update(l1 ^ l2, l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W191,5,Show me all articles exept vaccination or treatment,TNAU1115,"Update(l2 v l3, neg(l2) v neg(l3))",command
W191,6,"Show me articles with NCD, NI or WHO in the headline",TNAU696,Create(l4 v l5 v l6),command
W191,7,Do not use NI as North Ireland,TNAU749,"Update(l5, ?)",command
W191,8,National Insurance,TNAU818,"Update(?, l7)",command
W191,9,Change COVID-19 to Sars-CoV-2,TNAU868,"Update(l1, l8)",command
W191,12,Show me articles about the flu,TNAU999,"Update(l8 ^ l9, l10),Create(l10)",command
W191,13,exclude COVID-19,TNAU1058,Create(neg(l1)),command
W192,2,Show me articles about COVID-19.,TNAU525,Create(l1),command
W192,3,Show me articles about vaccination.,TNAU559,"Create(l2),Update(l1, l2),Update(l1, l1 v l2)",command
W192,5,Show me articles that are not related to vaccination or treatment.,TNAU1115,"Update(l2 v l3, neg(l2) v neg(l3))",command
W192,6,"Show me articles with the headline related to the NCD, NI or WHO.",TNAU704,Create(l4 v l5 v l6),command
W192,7,North Ireland is not correct.,TNAU745,"Update(l5, ?)",statement
W192,8,I meant National Insurance.,TNAU819,"Update(?, l7)",statement
W192,9,"Show me articles on SARS-CoV-2, not COVID-19 with these headlines.",TNAU877,"Update(l1, l8)",command
W192,10,What was my last request?,TNAU928,Read(Q10),question
W192,11,"Show me articles about the economy and doesn't need a headline of NCD, NI or WHO.",TNAU1151,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
W192,12,Show us articles on the flu.,TNAU999,"Update(l8 ^ l9, l10),Create(l10)",command
W192,13,Take away articles on COVID-19.,TNAU1058,Create(neg(l1)),command
W193,2,I'd like news articles on COVID-19,TNAU528,Create(l1),statement
W193,3,Just show my vaccination articles,TNAU564,"Update(l1, l2),Create(l2)",command
W193,4,I also want to see treatments,TNAU623,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",statement
W193,5,Show me other news articles not about vaccination or treatment,TNAU1115,"Update(l2 v l3, neg(l2) v neg(l3))",command
W193,6,"Include only NCD, NI or WHO headlines",TNAU700,Create(l4 v l5 v l6),command
W193,7,NI is not North Ireland,TNAU747,"Update(l5, ?)",statement
W193,8,I meant National Insurance,TNAU819,"Update(?, l7)",statement
W193,10,Repeat last search,TNAU922,Read(Q10),command
W193,12,Show me about flu,TNAU999,"Update(l8 ^ l9, l10),Create(l10)",command
W193,13,Show me only news not including COVID-19,TNAU1067,Create(neg(l1)),command
W194,2,What is COVID-19?,TNAU530,Create(l1),question
W194,7,I’m not asking for North Ireland.,TNAU750,"Update(l5, ?)",statement
W194,8,I meant National Insurance.,TNAU819,"Update(?, l7)",statement
W194,9,What are the news about SARS-Cov-2 and not COVID-19,TNAU879,"Update(l1, l8)",question
W194,10,Please repeat previous message,TNAU922,Read(Q10),command
W194,12,What are news about flu,TNAU1006,"Update(l8 ^ l9, l10),Create(l10)",question
W194,13,Disregard news about COVID-19,TNAU1058,Create(neg(l1)),command
W195,2,list of articles of COVID-19,TNAU529,Create(l1),command
W195,3,list of articles about corona vaccination.,TNAU565,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W195,4,list of articles on treatment,TNAU624,"Update(l1 ^ l2, l3),Update(l1 ^ l2, (l1 ^ l2) v l3)",command
W195,6,"list of articles on WHO,NCD,NI   in the headline",TNAU701,Create(l4 v l5 v l6),command
W195,7,It's not North Ireland,TNAU743,"Update(l5, ?),Update(l5, neg(l5))",statement
W195,8,I meant to say it's National Insurance.,TNAU819,"Update(?, l7)",statement
W195,10,Tell about theinformation  i have given to you before recent information,TNAU926,Read(Q10),command
W195,11,i want you to tell me about the economy instead of headline.,TNAU967,"Update(f1:(l4 ^ l7 ^ l6), l9)",statement
W195,12,list articles about flu,TNAU999,"Update(l8 ^ l9, l10),Create(l10)",command
W195,13,list articles which do not contain COVID-19 information.,TNAU1059,Create(neg(l1)),command
W196,2,list covid-19 articles,TNAU524,Create(l1),command
W196,4,and treatment,TNAU620,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 ^ l3)",command
W196,6,NCD or NI or WHO in headline,TNAU695,Create(l4 v l5 v l6),command
W196,7,without North Ireland,TNAU756,"Update(l5, ?),Update(l5, neg(l5))",command
W196,8,NI and National Insurance,TNAU815,"Update(?, l7)",command
W196,9,SARS-CoV-2 articles . Not COVID-19.,TNAU865,"Update(l1, l8)",command
W196,10,repeat last query,TNAU922,Read(Q10),command
W196,11,headline about economy. Not NCD or NI or WHO,TNAU1147,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
W196,12,articles for flu,TNAU999,"Update(l8 ^ l9, l10),Create(l10)",command
W196,13,without COVID-19,TNAU1058,Create(neg(l1)),command
W197,2,Please get me news articles on the COVID-19,TNAU525,Create(l1),command
W197,3,Please get me news articles related only to vaccinations,TNAU568,"Update(l1, l2),Create(l2)",command
W197,4,Please change this list to include treatments too,TNAU627,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",command
W197,5,Please remove all news articles about vaccinations and treatments,TNAU1114,"Update(l2 v l3, neg(l2) ^ neg(l3))",command
W197,6,"Please include all articles that have NCD, NI or WHO in the headline.",TNAU696,Create(l4 v l5 v l6),command
W197,7,Please remove all articles with North Ireland in the headline,TNAU751,"Update(l5, neg(l5)),Update(l5, ?)",command
W197,8,"Instead, include all articles with National Insurance in the headline",TNAU813,"Update(?, l7)",command
W197,9,Please remove all news articles about COVID-19 and instead include all articles about SARS-CoV-2,TNAU873,"Update(l1, l8)",command
W197,10,What did I tell you to do before?,TNAU927,Read(Q10),question
W197,11,"Please change the list to include articles about the economy. Remove articles with headlines that include NCD, NI or WHO.",TNAU1149,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
W197,12,Now I want to list to include articles about flu.,TNAU1004,"Update(l8 ^ l9, l10),Create(l10)",statement
W198,2,Show me articles about COVID-19,TNAU525,Create(l1),command
W198,3,Only show me articles about vaccination,TNAU566,"Create(l2),Update(l1, l2)",command
W198,4,Also show me articles about treatment,TNAU619,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W198,5,"Show me all of the news articles again, not just the ones about vaccination and treatment",TNAU676,Delete(l2 v l3),command
W198,6,"Only include articles with NCD, NI or WHO in the headline",TNAU702,Create(l4 v l5 v l6),command
W198,7,"Please correct results, NI does not refer to North Ireland",TNAU752,"Update(l5, ?)",statement
W198,8,NI should refer to National Insurance,TNAU814,"Update(?, l7)",statement
W198,9,Search for articles relating to SARS-CoV-2 instead of COVID-19 with the same headline filters,TNAU876,"Update(l1, l8)",command
W198,10,remind me of my current search filters,TNAU924,Read(Q10),command
W198,11,Remove my current headline filters and show me articles relating to the economy instead,TNAU969,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W198,12,"start a new search, I'm looking for articles about the flu",TNAU997,"Update(l8 ^ l9, l10)",statement
W198,13,remove results related to COVID-19,TNAU1058,Create(neg(l1)),command
W199,2,can you give me a list of articles on COVID-19?,TNAU526,Create(l1),question
W199,3,can you show me articles about a vaccination?,TNAU562,"Create(l2),Update(l1, l2),Update(l1, l1 v l2)",question
W199,4,could you also add treatment articles?,TNAU621,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",question
W199,5,can you remove the vaccination and treatment filters?,TNAU674,Delete(l2 v l3),question
W199,6,"filter by the following words in the headline: NCD, NI or WHO",TNAU699,Create(l4 v l5 v l6),command
W199,7,Please take out results that show North Ireland.,TNAU751,"Update(l5, neg(l5)),Update(l5, ?)",command
W199,8,Show National Insurance results instead,TNAU821,"Update(?, l7)",command
W199,9,"using the same filters, look for SARS-CoV-2 articles instead of COVID-19",TNAU878,"Update(l1, l8)",command
W199,10,show me the current search criteria,TNAU925,Read(Q10),command
W199,11,"Remove headline criteria, then show me economy related articles",TNAU969,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W199,12,"new search, show me flu articles",TNAU1003,"Update(l8 ^ l9, l10)",command
W199,13,remove COVID-19 articles,TNAU1065,Create(neg(l1)),command
W200,2,Please gather all news articles on COVID-19 ,TNAU525,Create(l1),command
W200,3,Please gather all news articles that are about a vaccination,TNAU567,"Create(l2),Update(l1, l1 v l2),Update(l1, l2)",command
W200,4,Please gather all new articles that are about a treatment option that would be an alternative to a vaccination,TNAU628,"Update(l2, l2 v l3)",command
W200,5,Please gather all news articles that are not about a vaccination or treatment,TNAU675,Delete(l2 v l3),command
W200,6,"Please gather all news articles that have referenced in the headline NCD, NI or WHO",TNAU703,Create(l4 v l5 v l6),command
W200,7,Please gather all new articles that do not reference NI or North Ireland in the headline,TNAU753,"Update(l5, neg(l5)),Update(l5, ?)",command
W200,8,Please gather all news articles that have National Insurance (also known as NI) referenced in the headline.,TNAU813,"Update(?, l7)",command
W200,9,Please gather all news articles that are about SARS-CoV-2 instead of COVID-19,TNAU864,"Update(l1, l8)",command
W200,11,"please gather all news articles that are about the economy that do not have NCD, NI or WHO in the headline",TNAU1150,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
W200,12,Please disregard all previous instructions and now gather all news articles that are about the flu,TNAU998,"Update(l8 ^ l9, l10)",command
W200,13,Using the articles previously found please gather a list of news articles that are not about covid-19,TNAU1068,Create(neg(l1)),command
W201,3,Please filter the articles to ones that contain the word vaccination.,TNCA583,Create(l2),command
W201,4,"Please also the word ""treatment"" to the filtered articles",TNCA641,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",command
W201,5,Please remove the word filters vaccination and treatment. ,TNCA680,Delete(l2 v l3),command
W201,6,"Please filter articles with headline titles that include at least one of the following words: NCD, NI or WHO.",TNCA708,Create(l4 v l5 v l6),command
W201,7,Please search abbreviation of NI association instead and remove North Ireland,TNCA767,"Update(l5, ?),Update(l5, neg(l5))",command
W201,9,Please search SARS-CoV-2 instead of COVID-19 ,TNCA880,"Update(l1, l8)",command
W201,10,Remind me of my search critieria,TNCA932,Read(Q10),command
W201,11,Please remove my criteria for headlines and search any news articles related to the economy,TNCA978,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W201,12,Please remove previous filter and criteria and search for articles about flu only,TNCA1007,"Update(l8 ^ l9, l10)",command
W201,13,Please filter articles without COVID-19 in them,TNCA1077,Create(neg(l1)),command
W202,2,please show me all news articles on COVID-19,TNCA532,Create(l1),command
W202,4,May I please also see articles about treatment?,TNCA632,"Update(l1 ^ l2, (l1 ^ l2) ^ l3),Update(l2, l2 v l3)",question
W202,5,May I please see those news articles that are not about vaccination or treatment?,TNCA1124,"Update(l2 v l3, neg(l2) v neg(l3))",question
W202,6,"May I please see the articles that have NCD, NI, or WHO in the headline?",TNCA705,Create(l4 v l5 v l6),question
W202,7,Please remove articles with North Ireland,TNCA757,"Update(l5, neg(l5)),Update(l5, ?)",command
W202,8,I was looking for National Insurance,TNCA829,"Update(?, l7)",statement
W202,9,I would like to see news articles about SARS-CoV-2 instead of COVID-19,TNCA887,"Update(l1, l8)",statement
W202,10,May I please see the search criteria?,TNCA931,Read(Q10),question
W202,11,"I would like to just see articles about the economy, instead of having a headline containing NCD, NI, or WHO",TNCA975,"Update(f1:(l4 ^ l7 ^ l6), l9)",statement
W202,12,I want to see news articles about the flu,TNCA1011,"Update(l8 ^ l9, l10),Create(l10)",statement
W202,13,I want to see news articles that are not about COVID-19,TNCA1075,Create(neg(l1)),statement
W203,2,Can you retrieve news about COVID-19?,TNCA537,Create(l1),question
W203,4,Can you get me more news on vaccination or treatment?,TNCA639,"Update(l2, l2 v l3)",question
W203,5,Can you show me news without vaccination or treatment information?,TNCA1119,"Update(l2 v l3, neg(l2) v neg(l3))",question
W203,6,"Can you show me news that the headline contains NCD, NI or WHO?",TNCA709,Create(l4 v l5 v l6),question
W203,7,"NI doesn't stand for North Ireland, please correct that for me",TNCA759,"Update(l5, ?)",statement
W203,8,NI stands for National Insurance,TNCA823,"Update(?, l7)",statement
W203,9,"Instead of news about COVID-19, please search news about SARS-CoV-2 ",TNCA889,"Update(l1, l8)",command
W203,10,What's the current search command that I gave you?,TNCA938,Read(Q10),question
W203,11,"Instead of the headlines that I've told you, please search the news articles about the economy",TNCA976,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W203,12,Please discard all of the previous command and search news about flu,TNCA1007,"Update(l8 ^ l9, l10)",command
W203,13,"In your search, please exclude any news related to COVID-19",TNCA1071,Create(neg(l1)),command
W204,2,Create a list of articles relating to Covid-19.,TNCA531,Create(l1),command
W204,3,Update list to show articles relating to vaccination.,TNCA585,"Create(l2),Update(l1, l2)",command
W204,5,Show more articles not related to vaccination or treatment.,TNCA1125,"Update(l2 v l3, neg(l2) v neg(l3))",command
W204,6,Update articles with headlines mentioning NCD or NI or the WHO.,TNCA707,Create(l4 v l5 v l6),command
W204,7,Remove articles relating to North Ireland.,TNCA757,"Update(l5, neg(l5)),Update(l5, ?)",command
W204,8,Add articles with headline for NI referring to National Insurance.,TNCA825,"Update(?, l7)",command
W204,9,Update list of articles for SARS-CoV-2 instead of COVID-19.,TNCA881,"Update(l1, l8)",command
W204,12,Create new list of articles for flu.,TNCA1009,"Update(l8 ^ l9, l10)",command
W204,13,Remove articles from list relating to COVID-19.,TNCA1080,Create(neg(l1)),command
W205,2,Can I see news articles about COVID-19?,TNCA535,Create(l1),question
W205,4,Can I just see the articles that only contain news about a vaccination or a treatment?,TNCA638,"Update(l2, l2 v l3)",question
W205,5,Can I see more articles that show information other than vaccination or treatment?,TNCA678,Delete(l2 v l3),question
W205,6,"Can I see articles that only contain NCD, NI, or WHO in the headline?",TNCA705,Create(l4 v l5 v l6),question
W205,7,Can I see articles with NI in the headline excluding North Ireland?,TNCA760,"Update(l5, ?),Update(l5, neg(l5))",question
W205,8,I meant NI to search for National Insurance.,TNCA826,"Update(?, l7)",statement
W205,9,Can I see articles about SARS-CoV-2? I'm finished searching for COVID-19,TNCA884,"Update(l1, l8)",question
W205,11,"Can I see articles that are focused on the economy instead of only containing NCD, NI, or WHO in the headline.",TNCA972,"Update(f1:(l4 ^ l7 ^ l6), l9)",question
W205,12,Can I see different articles that are related to the flu?,TNCA1008,"Update(l8 ^ l9, l10),Create(l10)",question
W205,13,Can I only see the articles that exclude COVID-19?,TNCA1072,Create(neg(l1)),question
W206,2,show me news articles about COVID-19,TNCA532,Create(l1),command
W206,3,show me just the articles about vaccination,TNCA573,"Create(l2),Update(l1, l2)",command
W206,4,also show me the articles about treatment,TNCA633,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W206,6,"shows me news articles with WHO, NCD, or NI in the headline",TNCA706,Create(l4 v l5 v l6),command
W206,7,I did not mean NI as in North Ireland,TNCA765,"Update(l5, ?)",statement
W206,8,I meant National Insurance,TNCA827,"Update(?, l7)",statement
W206,9,Shows me news articles about SARS-CoV-2 instead of COVID-19 with the same headlines,TNCA893,"Update(l1, l8)",command
W206,10,What did I previously ask you to do?,TNCA937,Read(Q10),question
W206,11,instead of headlines show me news articles about the economy ,TNCA977,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W206,12,Show me only articles about the flu now,TNCA1019,Create(l10),command
W206,13,Do not show my any articles about COVID-19,TNCA1069,Create(neg(l1)),command
W207,2,Give me news articles about COVID-19,TNCA532,Create(l1),command
W207,3,Narrow the list down to articles about vaccination,TNCA581,Create(l2),command
W207,4,add articles about treatment,TNCA633,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W207,5,remove articles on vaccination and treatment,TNCA1118,"Update(l2 v l3, neg(l2) ^ neg(l3))",command
W207,6,"narrow the list to articles only containing headlines with the words NCD, NI, or WHO",TNCA707,Create(l4 v l5 v l6),command
W207,8,NI is equal to National Insurance,TNCA822,"Update(?, l7)",statement
W207,9,Remove COVID-19 articles and add articles on SARS-CoV-2,TNCA891,"Update(l1, l8)",command
W207,10,can you repeat my last request?,TNCA929,Read(Q10),question
W207,11,"Remove articles with headlines containing NCD, NI, WHO, and add articles about the economy",TNCA1156,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
W207,12,Find articles about the flu,TNCA1010,"Update(l8 ^ l9, l10),Create(l10)",command
W207,13,Remove articles on COVID-19,TNCA1071,Create(neg(l1)),command
W208,2,Get me news articles on COVID-19,TNCA532,Create(l1),command
W208,3,Only show me the articles that are also about vaccination.,TNCA582,Create(l2),command
W208,4,Also show me any articles that are about treatment.,TNCA633,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W208,5,Now show me all of the articles that aren't about vaccination or treatment.,TNCA1125,"Update(l2 v l3, neg(l2) v neg(l3))",command
W208,6,Show me all of the articles that have NCD or NI or WHO in the headline.,TNCA706,Create(l4 v l5 v l6),command
W208,7,"Don't show me any articles where NI means ""North Ireland"".",TNCA761,"Update(l5, ?)",command
W208,8,"Show me articles where ""NI"" in the headline means ""National Insurance""",TNCA830,"Update(?, l7)",command
W208,9,"Instead of articles about COVID-19 that match the criteria I gave you, show me articles about SARS-CoV-2 that match the criteria.",TNCA889,"Update(l1, l8)",command
W208,10,Show me which criteria I asked you to use when showing me the list of articles.,TNCA935,Read(Q10),command
W208,11,"Instead of articles that match the criteria I gave you about the headline, show me articles that are also about the economy.",TNCA1153,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
